,count
"(-74.00391102147437, 40.71117478840158, -74.00387975083906, 40.71111253714936)",293
"(-74.00427373271157, 40.711402624542124, -74.00525384139958, 40.71199959467256)",293
"(-74.0052919538664, 40.71200097881278, -74.00525384139958, 40.71199959467256)",293
"(-74.0052919538664, 40.71200097881278, -74.00565912303166, 40.71192432338665)",293
"(-74.00387975083906, 40.71111253714936, -74.00364239772288, 40.710973587083494)",293
"(-74.00364239772288, 40.710973587083494, -74.00357930908223, 40.71093350732651)",1422
"(-74.00357930908223, 40.71093350732651, -74.00351115421853, 40.71089114939697)",1422
"(-74.00351115421853, 40.71089114939697, -74.00341206280596, 40.71080357769976)",1422
"(-74.00341206280596, 40.71080357769976, -74.00319295755271, 40.71064060053009)",1422
"(-74.00319295755271, 40.71064060053009, -74.00308193086107, 40.710624286299634)",1422
"(-74.00308193086107, 40.710624286299634, -74.0021095272071, 40.7098939128514)",1422
"(-74.00011721391424, 40.70789507405272, -74.00001705219744, 40.70782095573833)",1422
"(-74.00001705219744, 40.70782095573833, -73.99998819015995, 40.70778656431666)",1422
"(-73.99998819015995, 40.70778656431666, -73.99995384449153, 40.70774701926006)",1422
"(-73.99995384449153, 40.70774701926006, -73.99989932153854, 40.70768296586463)",1422
"(-73.99989932153854, 40.70768296586463, -73.9994556497317, 40.70792002598968)",6284
"(-73.99989932153854, 40.70768296586463, -74.00100771078944, 40.70707789900013)",5652
"(-73.9994556497317, 40.70792002598968, -73.99935295149159, 40.707978742387816)",6284
"(-73.99935295149159, 40.707978742387816, -73.99928731137852, 40.708016603091)",6284
"(-73.99928731137852, 40.708016603091, -73.99919451201151, 40.70794737568406)",5181
"(-73.99928731137852, 40.708016603091, -73.99922363440119, 40.70805305176842)",4575
"(-73.99928731137852, 40.708016603091, -73.99936195595382, 40.70807228663577)",5378
"(-74.00360156361408, 40.71144633221096, -74.00353144310918, 40.71139214434803)",5378
"(-74.00360156361408, 40.71144633221096, -74.00378803913712, 40.71160065215392)",5378
"(-74.00353144310918, 40.71139214434803, -74.00333184725669, 40.71124208288115)",5378
"(-74.00333184725669, 40.71124208288115, -74.00328686388329, 40.711207248815576)",5378
"(-74.00328686388329, 40.711207248815576, -74.00276772819791, 40.710789301186395)",5378
"(-74.00276772819791, 40.710789301186395, -74.00267634600773, 40.71071582616621)",5378
"(-74.00267634600773, 40.71071582616621, -74.00173688931052, 40.709960169665855)",5378
